Work Item Id;Revision;Revised Date;Old Board Column;New Board Column;Tempo Na Coluna
97698;39;2024-01-31T05:22:44.063Z;Em desenvolvimento;Para teste;22,693465231481483
118571;9;2024-01-31T12:19:15.087Z;Para teste;GMUD;0,6655256944444444
113657;15;2024-01-31T12:56:53.19Z;Definição funcional;Em desenvolvimento;34,00543298611111
113146;19;2024-01-31T14:15:21.953Z;Definição funcional;Em desenvolvimento;11,968372141203703
113386;9;2024-01-31T15:24:27.973Z;Backlog;Definição funcional;11,90979474537037
113764;32;2024-01-31T12:17:36.837Z;Para teste;GMUD;5,662376898148148
118750;2;2024-01-31T20:34:30.89Z;Backlog;Definição funcional;8,302083333333333e-05
112469;9;2024-02-01T12:21:10.41Z;Em Desenvolvimento;Wait Release;22,762276041666667
118768;2;2024-02-01T12:05:14.46Z;Backlog;Em desenvolvimento;0,0003256944444444444
118768;5;2024-02-01T13:12:20.16Z;Em desenvolvimento;Para teste;0,046593749999999996
118823;2;2024-02-01T14:27:02.947Z;Backlog;Planejado - TRI atual;1,0844907407407409e-05
118825;3;2024-02-01T16:57:10.097Z;Backlog;Definição funcional;0,06881203703703703
115814;14;2024-02-01T19:01:26.797Z;Em Sprint;Backlog;7,040388541666666
117841;21;2024-01-31T13:03:30.52Z;Em Sprint;Desenv;5,783627164351851
118516;5;2024-01-31T13:05:08.623Z;Desenv;Entregue HML;0,5453199768518519
117840;4;2024-01-31T13:12:26.38Z;Funil;Desenv;6,77118449074074
117840;5;2024-01-31T13:12:36.697Z;Desenv;Entregue PROD;0,00011940972222222222
116729;19;2024-01-31T12:00:00.967Z;Em Sprint;Desenv;5,797415625
115798;16;2024-01-31T21:19:58.14Z;Em Sprint;Desenv;6,124625810185186
118673;4;2024-01-31T13:37:09.747Z;Funil;Em Sprint;0,00017855324074074073
115760;12;2024-02-01T11:35:26.917Z;Desenv;Test;8,612604016203703
118762;3;2024-02-01T11:35:49.17Z;Funil;Desenv;0,009843900462962964
118394;6;2024-02-01T13:06:13.827Z;Funil;Desenv;2,6741490046296295
118394;7;2024-02-01T13:08:17.477Z;Desenv;Entregue HML;0,0014311342592592594
109842;17;2024-02-01T13:57:25.593Z;Desenv;Backlog;22,016678425925928
118252;7;2024-02-01T14:04:05.763Z;Desenv;Test;2,988707361111111
118913;4;2024-02-01T18:31:53.67Z;Funil;Analise PO;0,005303935185185185
118913;6;2024-02-01T18:31:59.337Z;Analise PO;Refinamento;6,559027777777778e-05
118913;8;2024-02-01T18:32:04.903Z;Refinamento;Backlog;6,44212962962963e-05
118913;10;2024-02-01T18:32:11.893Z;Backlog;Em Sprint;8,090277777777778e-05
118847;4;2024-02-01T14:53:11.717Z;Funil;Backlog;0,00016975694444444444
115813;13;2024-02-01T19:00:45.44Z;Em Sprint;Backlog;7,041052048611111
115811;16;2024-02-01T19:00:52.453Z;Em Sprint;Backlog;7,036825497685185
116137;9;2024-01-31T12:25:33.04Z;New;Desenv;14,919380902777778
100165;26;2024-01-31T12:28:27.003Z;Closed;Test;53,71748240740741
107694;10;2024-01-31T12:28:25.203Z;New;Test;79,00849864583333
116079;7;2024-01-31T13:24:42.12Z;New;Desenv;15,048010995370369
112704;7;2024-01-31T13:28:15.313Z;Desenv;Resolved;26,95441238425926
